INSEE_COM;NOM_COM_M;INSEE_DEP;NOM_DEP;CODE_EPCI;NOM_EPCI
55171;EIX;55;MEUSE;245501242;CC du Pays d'Étain
55172;LES EPARGES;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55173;EPIEZ-SUR-MEUSE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55174;EPINONVILLE;55;MEUSE;200066116;CC Argonne-Meuse
55175;ERIZE-LA-BRULEE;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55177;ERIZE-LA-PETITE;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55178;ERIZE-SAINT-DIZIER;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55179;ERNEVILLE-AUX-BOIS;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55180;ESNES-EN-ARGONNE;55;MEUSE;200066116;CC Argonne-Meuse
55181;ETAIN;55;MEUSE;245501242;CC du Pays d'Étain
55182;ETON;55;MEUSE;200066173;CC de Damvillers Spincourt
55183;ETRAYE;55;MEUSE;200066173;CC de Damvillers Spincourt
55184;EUVILLE;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55185;EVRES;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55186;FAINS-VEEL;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55188;FLASSIGNY;55;MEUSE;245501259;CC du Pays de Montmédy
55189;FLEURY-DEVANT-DOUAUMONT;55;MEUSE;200049187;CA du Grand Verdun
55191;FOAMEIX-ORNEL;55;MEUSE;245501242;CC du Pays d'Étain
55192;FONTAINES-SAINT-CLAIR;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55193;FORGES-SUR-MEUSE;55;MEUSE;200066116;CC Argonne-Meuse
55194;FOUCAUCOURT-SUR-THABAS;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55195;FOUCHERES-AUX-BOIS;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55196;FREMEREVILLE-SOUS-LES-COTES;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55197;FRESNES-AU-MONT;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55198;FRESNES-EN-WOEVRE;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55199;FROIDOS;55;MEUSE;200066116;CC Argonne-Meuse
55200;FROMEREVILLE-LES-VALLONS;55;MEUSE;200049187;CA du Grand Verdun
55201;FROMEZEY;55;MEUSE;245501242;CC du Pays d'Étain
55202;FUTEAU;55;MEUSE;200066116;CC Argonne-Meuse
55204;GENICOURT-SUR-MEUSE;55;MEUSE;200066165;CC Val de Meuse - Voie Sacrée
55206;GERCOURT-ET-DRILLANCOURT;55;MEUSE;200066116;CC Argonne-Meuse
55207;GERY;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55208;GESNES-EN-ARGONNE;55;MEUSE;200066116;CC Argonne-Meuse
55210;GIMECOURT;55;MEUSE;200066140;CC de l'Aire à l'Argonne
55211;GINCREY;55;MEUSE;245501242;CC du Pays d'Étain
55212;GIRAUVOISIN;55;MEUSE;200034874;CC Côtes de Meuse Woëvre
55214;GIVRAUVAL;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55215;GONDRECOURT-LE-CHATEAU;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55216;GOURAINCOURT;55;MEUSE;200066173;CC de Damvillers Spincourt
55217;GOUSSAINCOURT;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55218;GREMILLY;55;MEUSE;200066173;CC de Damvillers Spincourt
55219;GRIMAUCOURT-EN-WOEVRE;55;MEUSE;245501242;CC du Pays d'Étain
55220;GRIMAUCOURT-PRES-SAMPIGNY;55;MEUSE;200066157;CC de Commercy - Void - Vaucouleurs
55221;GUERPONT;55;MEUSE;200033025;CA de Bar-le-Duc - Sud Meuse
55222;GUSSAINVILLE;55;MEUSE;245501242;CC du Pays d'Étain
55224;HAIRONVILLE;55;MEUSE;200066108;CC Haute Saulx et Perthois-Val d'Ornois
55225;HALLES-SOUS-LES-COTES;55;MEUSE;200066132;CC du Pays de Stenay et du Val Dunois
55226;HAN-LES-JUVIGNY;55;MEUSE;245501259;CC du Pays de Montmédy
55228;HANNONVILLE-SOUS-LES-COTES;55;MEUSE;245501176;CC du Territoire de Fresnes-en-Woëvre
55229;HAN-SUR-MEUSE;55;MEUSE;245500327;CC du Sammiellois
