Zone;CodeZone;I_01_03_4;I_06_01_2;I_07_01_2;I_07_01_3;I_08_08_2;I_10_00_0;I_10_00_1;I_10_00_2;I_12_08_1;I_12_01_5;I_12_05_5;I_13_01_1;I_16_02_6;I_18_03_1;I_18_04_1;I_18_04_2;I_18_05_1;I_18_05_2;I_18_05_3;I_19_01_1;I_20_01_1;I_22_04_3;I_23_02_1;I_23_02_2;I_24_01_5;I_24_01_4;I_27_01_3;I_THD;Avancement_PCAET
CC de la Plaine de l'Ain;240100883;0.244531828591263;25.577243868895;36.3002957934226;14.507254124288;3.36040956491305;54.9493389368663;17.3799343125865;68.758043944876;1.76615823798947;12.8499278499278;2.43273960096814;7.01610327995986;6.29196363592839;0;0;13.3333333333333;3.57142857142857;10.7142857142857;0;11.2903225806452;28.5714285714286;14.0326838908835;9.02746903410072;80.3294812887719;8.54745811745522;100;8.98444339983811;44.8482161798567;NA
CC du Pays Bellegardien (Ccpb);240100891;0.261955179472338;26.729907972524;37.7632435147379;17.0505422700145;5.19384076274269;48.155339355839;19.623872944016;66.5934451710826;2.65134739988326;12.9376854599407;1.45961822761493;11.5660780128081;9.44876468296015;NA;0;0;0;0;NA;40;0;12.4909239680825;9.13201911928574;78.5085538644851;6.55032049782436;90.9090909090909;5.85074743951434;62.0212171339021;NA
CC de la Thiérache du Centre;240200444;0.319856136501463;38.9807104834365;27.1977108801126;17.3032632567638;2.85968613327166;51.2228406148388;21.3903561800391;59.4290045767342;0.455184763576329;10.8681875792142;1.16264122762015;8.83528192985053;12.35566665819;NA;0;26.0869565217391;0;0;0;100;59.4202898550725;0.182850895297902;1.08090828830566;78.7746559717946;7.04094867518992;86.3636363636364;4.46685319307571;27.7507121895355;NA
CC du Pays de la Serre;240200469;0.282475127973914;26.150903339232;26.9202577293445;18.1399752920597;2.40802698490701;49.3272493304173;20.964585386599;61.0440105497139;1.37569719448659;13.3247918001281;1.73713266776515;9.76989815164089;9.35769805329826;NA;5.55555555555556;23.5294117647059;0;0;0;75;100;1.80240751841771;1.48338070836184;82.4736518676655;6.11995104039168;77.2727272727273;5.08038133798986;29.7978811227298;NA
CA du Soissonnais;240200477;0.320829829969436;45.0784837741935;32.2357524255273;18.3875114694992;7.86489524384352;48.3263730128538;22.5076305976176;55.8614982581055;1.42555954319384;10.8993988885108;0.9666839010396;11.9165783750627;13.1137503394962;NA;0;12.5;0;0;0;42.8571428571429;100;0;5.98387156023372;78.0178160292152;10.0084687042882;0;15.1926473539096;38.2471754176179;NA
CC du Pays du Vermandois;240200493;0.279499286416191;44.022116511203;28.6138461928179;18.5487709927164;2.09939063320708;50.2277644277131;19.6337819717828;58.4314137097139;0.685277270833398;11.1181102362205;1.30175352451688;8.77542879936179;9.41882953333539;NA;NA;NA;25;0;0;60;22.2222222222222;0;2.1689995624729;82.2715975611077;6.65610142630745;13.6363636363636;5.29808812582102;44.391608204717;NA
CC du Val de l'Aisne;240200501;0.257985027850512;40.1908551704062;32.262960514059;12.6701180441533;2.4379079759753;50.8985255269854;15.2521356137805;64.6898061307502;0.540508268388159;11.5013508297954;0.709698461466877;17.5223583968201;5.47721526828311;0;0;0;0;0;33.3333333333333;33.3333333333333;100;0.562372940073634;2.16724619535302;86.3914000464475;5.89043785588062;72.7272727272727;4.29476318723665;26.7225733634312;NA
CC du Canton d'Oulchy-le-Château;240200519;0.213572192710377;3.2522542399197;30.2859044437553;16.8695841641941;2.34325004237165;53.2891412424648;15.4251311283459;65.0551371019565;0.324493813392651;14.9773071104387;1.5832584947091;7.28218465539662;4.66981151638736;NA;0;NA;100;0;0;100;100;0.335476095361407;3.37649489623729;83.8647650607553;5.24383848977452;0;1.73328938037101;18.3513116474292;NA
CC de la Champagne Picarde;240200576;0.248784218824097;35.5641109833294;30.8923813857265;15.1162837986823;1.37294648094783;50.054690060232;18.201337025574;66.4274526175468;0.164107465472848;11.2704101951414;0.831580475433237;17.3822301729278;8.92568777113744;NA;0;10;0;0;0;85.7142857142857;100;3.88902850271732;2.81213495706291;82.1421200858495;5.72573718866304;90.9090909090909;3.36106633552603;34.0334673770986;NA
CC du Canton de Charly-sur-Marne;240200584;0.263457574042922;31.002052648604;27.6821691094191;16.6449059479289;3.61540639531998;52.7386953385335;20.554602501705;67.5192573579978;0.458555867067938;15.5640171346978;0.855419697506811;26.0820045558087;7.1880283360825;NA;0;77.7777777777778;NA;NA;NA;0;100;0;18.0518197625585;68.5947265256164;5.11214774106972;13.6363636363636;3.59362376530849;32.8449883750969;NA
