dept,siren,raison_sociale,nature_juridique,mode_financ,nb_membres,total_pop_tot,total_pop_mun,dep_com,insee,siren_membre,nom_membre,ptot_2019,pmun_2019
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01285,210102851,Parcieux,1220,1188
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01423,210104238,Toussieux,1020,1002
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01030,210100301,Beauregard,908,885
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01362,210103628,Saint-Jean-de-Thurigneux,786,773
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01318,210103180,Rancé,744,727
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01283,210102836,Oyonnax,23150,22559
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01185,200086122,Plateau d'Hauteville ,5025,4845
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01031,210100319,Bellignat,3852,3618
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01269,210102695,Nantua,3629,3482
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01265,210102653,Montréal-la-Cluse,3480,3409
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01014,210100145,Arbent,3470,3379
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01192,210101929,Izernore,2318,2257
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01148,210101481,Dortan,1890,1846
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01237,210102372,Martignat,1691,1627
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01181,210101812,Groissiat,1256,1223
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01373,210103735,Saint-Martin-du-Frêne,1100,1063
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01170,210101705,Béard-Géovreissiat,1066,1039
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01267,210102679,Nurieux-Volognat,1054,1030
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01171,210101713,Géovreisset,937,891
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01307,210103073,Port,884,855
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01152,210101523,Échallon,780,760
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01204,200053395,Le Poizat-Lalleyriat,728,712
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01441,210104410,Vieu-d'Izenave,716,699
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01392,210103925,Samognat,685,657
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01080,200056695,Champdor-Corcelles,672,657
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01240,210102406,Matafelon-Granges,662,645
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01274,210102745,Les Neyrolles,648,636
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01228,210102281,Maillat,645,623
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01060,210100608,Brénod,544,522
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01063,210100632,Brion,523,515
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01112,210101127,Condamine,451,414
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01011,210100111,Apremont,394,383
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01012,210100129,Aranc,330,326
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01410,210104105,Sonthonnax-la-Montagne,330,318
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01035,210100350,Belleydoux,326,317
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01087,210100871,Charix,295,285
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01206,210102067,Lantenay,278,272
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01282,210102828,Outriaz,269,261
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01067,210100673,Ceignes,264,253
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01293,210102935,Peyriat,168,164
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01191,210101911,Izenave,166,162
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01101,210101010,Chevillard,162,153
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01214,210102141,Leyssard,157,153
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01155,210101556,Évosges,148,145
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01121,210101218,Corlier,114,113
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01051,210100517,Bolozon,90,89
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403,01,01311,210103115,Prémillieu,46,46
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01093,210100939,Châtillon-sur-Chalaronne,5095,4886
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01443,210104436,Villars-les-Dombes,4711,4628
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01333,210103339,Saint-André-de-Corcy,3293,3241
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01074,210100749,Chalamont,2438,2406
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01248,210102489,Mionnay,2178,2132
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01389,210103891,Saint-Trivier-sur-Moignans,1865,1822
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01092,210100921,Châtillon-la-Palud,1649,1574
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01272,210102729,Neuville-les-Dames,1528,1505
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01383,210103834,Saint-Paul-de-Varax,1522,1502
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01371,210103719,Saint-Marcel,1328,1303
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01235,210102356,Marlieux,1163,1068
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01381,210103818,Saint-Nizier-le-Désert,933,914
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01083,210100830,Chaneins,913,898
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01113,210101135,Condeissiat,832,825
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01001,210100012,L'Abergement-Clémenciat,785,767
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01449,210104493,Villette-sur-Ain,763,751
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01261,210102612,Monthieux,674,648
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01028,210100285,Baneins,606,596
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01328,210103289,Romans,598,594
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01412,210104121,Sulignat,589,577
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01299,210102992,Le Plantay,562,553
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01393,210103933,Sandrans,531,526
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01319,210103198,Relevant,468,463
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01146,210101465,Dompierre-sur-Chalaronne,441,431
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01434,210104345,Versailleux,428,421
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01085,210100855,La Chapelle-du-Châtelard,392,387
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01335,210103354,Saint-André-le-Bouchoux,385,384
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01090,210100905,Châtenay,342,333
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01207,210102075,Lapeyrouse,336,324
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01052,210100525,Bouligneux,325,319
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01045,210100459,Birieux,289,285
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01382,210103826,Sainte-Olive,285,284
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01129,210101291,Crans,267,263
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01359,210103594,Saint-Germain-sur-Renon,239,235
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01356,210103560,Saint-Georges-sur-Renon,224,219
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195,01,01428,210104287,Valeins,135,131
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01263,210102638,Montmerle-sur-Saône,3877,3811
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01348,210103487,Saint-Didier-sur-Chalaronne,2898,2832
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01420,210104204,Thoissey,1740,1725
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01165,210101655,Francheleins,1606,1574
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01351,210103511,Saint-Étienne-sur-Chalaronne,1576,1546
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01183,210101838,Guéreins,1461,1435
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01075,210100756,Chaleins,1329,1296
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01243,210102430,Messimy-sur-Saône,1241,1210
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01258,210102588,Montceaux,1218,1182
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01252,210102521,Mogneneins,802,774
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01167,210101671,Garnerans,680,654
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01295,210102950,Peyzieux-sur-Saône,676,663
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01188,210101887,Illiat,632,615
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01169,210101697,Genouilleux,619,600
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296,01,01225,210102257,Lurcy,389,379
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01457,210104576,Vonnas,2988,2929
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01246,210102463,Mézériat,2172,2134
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01179,210101796,Grièges,1942,1881
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01343,210103438,Saint-Cyr-sur-Menthon,1801,1761
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01134,210101341,Crottet,1784,1734
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01306,210103065,Pont-de-Veyle,1682,1618
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01203,210102034,Laiz,1252,1213
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01123,210101234,Cormoranche-sur-Saône,1153,1118
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01365,210103651,Saint-Jean-sur-Veyle,1142,1122
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01096,210100962,Chaveyriat,1036,1006
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01136,210101366,Cruzilles-lès-Mépillat,880,855
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01046,210100467,Biziat,866,857
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01084,210100848,Chanoz-Châtenay,851,833
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01291,210102919,Perrex,831,824
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01368,210103685,Saint-Julien-sur-Veyle,813,798
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01334,210103347,Saint-André-d'Huiriat,611,602
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01355,210103552,Saint-Genis-sur-Menthon,481,472
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033,01,01042,210100426,Bey,290,276
